流水,華語,台語,台羅,備存對照
441,上吊,吊脰,tiàu-tāu,2227
442,上吊,吊頷,tiàu-ām,2264
443,上回,頂過,tíng-kuè/tíng-kè,8090
444,上旬,月初,gue̍h-tshe/ge̍h-tshue,965
445,上次,頂過,tíng-kuè/tíng-kè,8090
446,上次,頂幫,tíng-pang,8103
447,上次,頂擺,tíng-pái,8104
448,上車,上車,tsiūnn-tshia,52593
449,上來,起來,khí-lâi,6740
450,上坡,上崎,tsiūnn-kiā,435
451,上坪溪,上坪溪,Siōng-pîng-khe,38016
452,上官,上官,Siōng-kuan,41006
453,上岸,上岸,tsiūnn-huānn,53363
454,上肢胳臂,手骨,tshiú-kut,1052
455,上帝,上帝,Siōng-tè,387
456,上面,面頂,bīn-tíng,5651
457,上面,頂面,tíng-bīn,8071
458,上面,頂頭,tíng-thâu,8102
459,上面,頂懸,tíng-kuân,8107
460,上風,贏面,iânn-bīn,13059
461,上香,進香,tsìn-hiunn,9147
462,上個月,頂月,tíng-gue̍h/tíng-ge̍h,8049
463,上個月,頂月日,tíng gue̍h-ji̍t/tíng ge̍h-li̍t,8050
464,上員,上員,Siōng-guân,34211
465,上師,上師,siōng-su,50419
466,上座,坐桌,tsē-toh,3051
467,上校,上校,siōng-hāu,52594
468,上班,食頭路,tsia̍h-thâu-lōo,5697
469,上班,上班,siōng-pan,50496
470,上級,頂司,tíng-si,8056
471,上級,頂面,tíng-bīn,8071
472,上級,頂頭,tíng-thâu,8102
473,上將,上將,siōng-tsiòng,53364
474,上場,上場,tsiūnn-tiûnn,50809
475,上游,水頭,tsuí-thâu,1180
476,上等,上等,siōng-tíng,461
477,上等貨,幼貨,iù-huè/iù-hè,1778
478,上菜,上桌,tsiūnn-toh,425
479,上訴,上訴,siōng-sòo,465
480,上路,上路,tsiūnn-lōo,52910
481,上漲,起,khí,6695
482,上網,上網,tsiūnn-bāng,53365
483,上臺,上台,tsiūnn-tâi,51466
484,上蒼,上天,siōng-thian,256
485,上墳,掃墓,sàu-bōng/sàu-bōo,7423
486,上層,頂層,tíng-tsàn,8096
487,上課,上課,siōng-khò,527
